,output,equation_number,eqn,soln
0,HIT te0 w/ (lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)) ; log prior = -3.790670 ; log likelihood = 0.000000,0,(= (/ (1) (2)) (x)),(lambda (#(lambda (_swap $0 0)) $0))
32,HIT te85 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.524334 ; log likelihood = 0.000000,85,(= (x) (/ (- (1) (2)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
33,HIT te87 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0)) ; log prior = -4.264414 ; log likelihood = 0.000000,87,(= (* (1) (x)) (/ (* (2) (x)) (x))),(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))
34,HIT te88 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.805065 ; log likelihood = 0.000000,88,(= (+ (1) (* (-2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
35,HIT te90 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -3.062709 ; log likelihood = 0.000000,90,(= (1) (+ (* (2) (x)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
36,HIT te91 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -4.652831 ; log likelihood = 0.000000,91,(= (1) (+ (/ (2) (x)) (-3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
37,HIT te93 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) $0)) ; log prior = -4.659882 ; log likelihood = 0.000000,93,(= (- (* (1) (x)) (* (-2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) $0))
38,HIT te94 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0))) $0)) ; log prior = -3.508652 ; log likelihood = 0.000000,94,(= (+ (* (-1) (x)) (2)) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 0)) $0))) $0))
39,HIT te96 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (mathDomain_add $0 mathDomain_10))) ; log prior = -8.888444 ; log likelihood = 0.000000,96,(= (-1) (- (+ (* (2) (x)) (* (3) (x))) (4))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (_add $0 10)))
40,HIT te98 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) $0)) ; log prior = -4.098540 ; log likelihood = 0.000000,98,(= (* (-1) (x)) (- (-2) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) $0))
41,HIT te100 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.454778 ; log likelihood = 0.000000,100,(= (x) (/ (+ (-1) (2)) (3))),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
42,HIT te102 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) ; log prior = -7.605955 ; log likelihood = 0.000000,102,(= (* (-1) (x)) (* (/ (2) (x)) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))
43,HIT te103 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0))) $0)) ; log prior = -2.836417 ; log likelihood = 0.000000,103,(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0))) $0))
44,HIT te104 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -4.524839 ; log likelihood = 0.000000,104,(= (1) (+ (/ (-2) (x)) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
45,HIT te105 w/ (lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0)) ; log prior = -3.264542 ; log likelihood = 0.000000,105,(= (* (1) (x)) (2)),(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))
46,HIT te109 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) (mathDomain_mult $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) $0)))) $0)) ; log prior = -4.404231 ; log likelihood = 0.000000,109,(= (+ (-1) (2)) (* (3) (x))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) (_mult $0 4))) (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) $0)))) $0))
47,HIT te111 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_swap $0 mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_rrotate $0 mathDomain_4))) $0))) (mathDomain_div $0 mathDomain_4))) (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_swap $0 mathDomain_4)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) $0))) $0)) ; log prior = -4.342984 ; log likelihood = 0.000000,111,(= (* (-1) (x)) (+ (2) (3))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_swap $0 0)) (#(lambda (#(lambda (_simplify $0 0)) (_rrotate $0 4))) $0))) (_div $0 4))) (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_swap $0 4)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) $0))) $0))
48,HIT te113 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.775713 ; log likelihood = 0.000000,113,(= (+ (1) (* (2) (x))) (3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
49,HIT te115 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) $0)) ; log prior = -2.725975 ; log likelihood = 0.000000,115,(= (+ (-1) (* (2) (x))) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) $0))
50,HIT te123 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_div (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0) mathDomain_3))) (#(lambda (mathDomain_swap $0 mathDomain_2)) (#(lambda (mathDomain_swap $0 mathDomain_0)) $0)))) (#(lambda (mathDomain_swap $0 mathDomain_2)) $0))) $0)) ; log prior = -4.659521 ; log likelihood = 0.000000,123,(= (-1) (+ (-2) (* (3) (x)))),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_div (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0) 3))) (#(lambda (_swap $0 2)) (#(lambda (_swap $0 0)) $0)))) (#(lambda (_swap $0 2)) $0))) $0))
51,HIT te124 w/ (lambda (#(lambda (#(lambda (#(lambda (#(lambda (mathDomain_simplify $0 mathDomain_0)) (mathDomain_dist $0 mathDomain_1))) (mathDomain_rrotate $0 mathDomain_1))) (mathDomain_sub $0 mathDomain_5))) $0)) ; log prior = -3.750914 ; log likelihood = 0.000000,124,(= (+ (* (1) (x)) (2)) (-3)),(lambda (#(lambda (#(lambda (#(lambda (#(lambda (_simplify $0 0)) (_dist $0 1))) (_rrotate $0 1))) (_sub $0 5))) $0))
