,output,equation_number,rec_soln
29,HIT te99 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_swap (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)) mathDomain_2))))) ; log prior = -13.532376 ; log likelihood = 0.000000,99,(lambda (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_swap (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)) 2)))))
30,HIT te100 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.558384 ; log likelihood = 0.000000,100,(lambda (#(lambda (_simplify (_dist $0 1) 0)) $0))
31,HIT te103 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0)))))) ; log prior = -10.285970 ; log likelihood = 0.000000,103,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_dist $0 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0))))))
32,HIT te104 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0)) ; log prior = -2.965436 ; log likelihood = 0.000000,104,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0))
33,HIT te105 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.705981 ; log likelihood = 0.000000,105,(lambda (#(lambda (_simplify (_dist $0 1) 0)) $0))
34,HIT te111 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)))) ; log prior = -5.432147 ; log likelihood = 0.000000,111,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0))))
35,HIT te113 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_1))))) ; log prior = -11.675583 ; log likelihood = 0.000000,113,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap $0 1)))))
36,HIT te115 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_lrotate (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0) mathDomain_2)))) ; log prior = -13.519389 ; log likelihood = 0.000000,115,(lambda (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_lrotate (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0) 2))))
37,HIT te118 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_1))))) ; log prior = -10.509963 ; log likelihood = 0.000000,118,(lambda (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap $0 1)))))
38,HIT te124 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.388808 ; log likelihood = 0.000000,124,(lambda (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0))
39,HIT te125 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_swap (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_div (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0)) mathDomain_2)) mathDomain_2))) ; log prior = -15.500999 ; log likelihood = 0.000000,125,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_swap (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_div (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0)) 2)) 2)))
40,HIT te129 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) $0)))))) ; log prior = -13.196183 ; log likelihood = 0.000000,129,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_dist $0 1) 0)) (#(lambda (_simplify (_swap $0 0) 0)) $0))))))
41,HIT te130 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_div (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)) mathDomain_2)))) ; log prior = -16.237982 ; log likelihood = 0.000000,130,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_div (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)) 2))))
42,HIT te131 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0))))))) ; log prior = -14.505443 ; log likelihood = 0.000000,131,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_dist $0 1) 0)) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)))))))
43,HIT te133 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.746488 ; log likelihood = 0.000000,133,(lambda (#(lambda (_simplify (_dist $0 1) 0)) $0))
44,HIT te135 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_1))))) ; log prior = -12.003385 ; log likelihood = 0.000000,135,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap $0 1)))))
45,HIT te145 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_2))) ; log prior = -5.744572 ; log likelihood = 0.000000,145,(lambda (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap $0 2)))
46,HIT te147 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0))))))) ; log prior = -13.680196 ; log likelihood = 0.000000,147,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_dist $0 1) 0)) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)))))))
47,HIT te149 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (mathDomain_swap $0 mathDomain_1)))))) ; log prior = -13.806670 ; log likelihood = 0.000000,149,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (_swap $0 1))))))
48,HIT te153 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)))) ; log prior = -5.521070 ; log likelihood = 0.000000,153,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0))))
49,HIT te169 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_div (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0) mathDomain_2)))) ; log prior = -11.675735 ; log likelihood = 0.000000,169,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_div (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0) 2))))
50,HIT te170 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) $0)) ; log prior = -2.782967 ; log likelihood = 0.000000,170,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) $0))
51,HIT te171 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) (mathDomain_swap (mathDomain_div $0 mathDomain_3) mathDomain_1)))) ; log prior = -18.975458 ; log likelihood = 0.000000,171,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_dist $0 1) 0)) (_swap (_div $0 3) 1))))
52,HIT te181 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_rrotate (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0) mathDomain_2)))))) ; log prior = -14.915199 ; log likelihood = 0.000000,181,(lambda (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_rrotate (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0) 2))))))
53,HIT te185 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.483835 ; log likelihood = 0.000000,185,(lambda (#(lambda (_simplify (_dist $0 1) 0)) $0))
54,HIT te187 w/ (lambda (#(lambda (mathDomain_simplify (mathDomain_dist $0 mathDomain_1) mathDomain_0)) $0)) ; log prior = -2.597486 ; log likelihood = 0.000000,187,(lambda (#(lambda (_simplify (_dist $0 1) 0)) $0))
55,HIT te189 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_swap (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)))) mathDomain_2))) ; log prior = -14.536715 ; log likelihood = 0.000000,189,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_swap (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)))) 2)))
56,HIT te190 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)))))) ; log prior = -8.452425 ; log likelihood = 0.000000,190,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0))))))
57,HIT te196 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)))) ; log prior = -5.383667 ; log likelihood = 0.000000,196,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0))))
58,HIT te198 w/ (lambda (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (mathDomain_swap (#(lambda (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (mathDomain_rrotate (mathDomain_swap $0 mathDomain_3) mathDomain_2))) (#(lambda (mathDomain_simplify (mathDomain_swap $0 mathDomain_0) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) (#(lambda (mathDomain_simplify (mathDomain_rrotate (mathDomain_sub (mathDomain_simplify $0 mathDomain_0) mathDomain_3) mathDomain_1) mathDomain_0)) $0)))) mathDomain_2))) ; log prior = -14.384657 ; log likelihood = 0.000000,198,(lambda (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (_swap (#(lambda (#(lambda (_simplify (_swap $0 0) 0)) (_rrotate (_swap $0 3) 2))) (#(lambda (_simplify (_swap $0 0) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) (#(lambda (_simplify (_rrotate (_sub (_simplify $0 0) 3) 1) 0)) $0)))) 2)))
